GRUPO,MOTOR,Nombre,Fecha,Falla,Mantenimiento,Tiempo de Reparacion (h),Potencia,Voltaje (V),Corriente (A)
Synthetic group D,SYN-0044,Synthetic motor 0044,2024-01-01,0,1,9.53,11.0,380.0,19.43
Synthetic group D,SYN-0044,Synthetic motor 0044,2024-12-06,1,0,7.12,11.0,380.0,19.43
Synthetic group D,SYN-0044,Synthetic motor 0044,2025-03-24,0,1,4.69,11.0,380.0,19.43
Synthetic group A,SYN-0045,Synthetic motor 0045,2022-03-22,1,0,4.74,22.0,380.0,38.87
Synthetic group A,SYN-0045,Synthetic motor 0045,2022-06-22,0,1,11.83,22.0,380.0,38.87
Synthetic group A,SYN-0045,Synthetic motor 0045,2023-03-23,1,0,8.71,22.0,380.0,38.87
Synthetic group A,SYN-0045,Synthetic motor 0045,2023-06-27,0,1,5.51,22.0,380.0,38.87
Synthetic group A,SYN-0045,Synthetic motor 0045,2024-06-04,1,0,9.96,22.0,380.0,38.87
Synthetic group A,SYN-0045,Synthetic motor 0045,2024-08-28,0,1,2.15,22.0,380.0,38.87
Synthetic group B,SYN-0046,Synthetic motor 0046,2022-05-12,1,0,4.73,11.0,440.0,16.78
Synthetic group B,SYN-0046,Synthetic motor 0046,2022-09-17,0,1,3.24,11.0,440.0,16.78
Synthetic group B,SYN-0046,Synthetic motor 0046,2023-08-28,1,0,14.41,11.0,440.0,16.78
Synthetic group B,SYN-0046,Synthetic motor 0046,2024-01-01,0,1,12.87,11.0,440.0,16.78
Synthetic group B,SYN-0046,Synthetic motor 0046,2024-11-29,1,0,4.21,11.0,440.0,16.78
Synthetic group B,SYN-0046,Synthetic motor 0046,2025-03-06,0,1,5.06,11.0,440.0,16.78
Synthetic group C,SYN-0047,Synthetic motor 0047,2022-09-24,1,0,4.73,11.0,380.0,19.43
Synthetic group C,SYN-0047,Synthetic motor 0047,2023-01-25,0,1,4.49,11.0,380.0,19.43
Synthetic group C,SYN-0047,Synthetic motor 0047,2023-10-11,1,0,7.98,11.0,380.0,19.43
Synthetic group C,SYN-0047,Synthetic motor 0047,2024-02-14,0,1,10.74,11.0,380.0,19.43
Synthetic group C,SYN-0047,Synthetic motor 0047,2025-03-24,1,0,4.1,11.0,380.0,19.43
Synthetic group C,SYN-0047,Synthetic motor 0047,2025-07-28,0,1,2.94,11.0,380.0,19.43
Synthetic group D,SYN-0048,Synthetic motor 0048,2022-02-03,1,0,3.42,30.0,380.0,53.0
Synthetic group D,SYN-0048,Synthetic motor 0048,2022-05-10,0,1,6.0,30.0,380.0,53.0
Synthetic group D,SYN-0048,Synthetic motor 0048,2023-04-07,1,0,6.31,30.0,380.0,53.0
Synthetic group D,SYN-0048,Synthetic motor 0048,2023-07-02,0,1,4.58,30.0,380.0,53.0
Synthetic group D,SYN-0048,Synthetic motor 0048,2024-04-15,1,0,4.83,30.0,380.0,53.0
Synthetic group D,SYN-0048,Synthetic motor 0048,2024-09-09,0,1,7.66,30.0,380.0,53.0
Synthetic group A,SYN-0049,Synthetic motor 0049,2022-01-03,1,0,8.26,11.0,380.0,19.43
Synthetic group A,SYN-0049,Synthetic motor 0049,2022-02-18,0,1,3.08,11.0,380.0,19.43
Synthetic group A,SYN-0049,Synthetic motor 0049,2023-01-18,1,0,5.63,11.0,380.0,19.43
Synthetic group A,SYN-0049,Synthetic motor 0049,2023-04-25,0,1,4.58,11.0,380.0,19.43
Synthetic group A,SYN-0049,Synthetic motor 0049,2023-12-25,1,0,5.01,11.0,380.0,19.43
Synthetic group A,SYN-0049,Synthetic motor 0049,2024-05-20,0,1,8.62,11.0,380.0,19.43
Synthetic group B,SYN-0050,Synthetic motor 0050,2022-05-29,1,0,7.3,30.0,220.0,91.55
Synthetic group B,SYN-0050,Synthetic motor 0050,2022-09-13,0,1,4.11,30.0,220.0,91.55
Synthetic group B,SYN-0050,Synthetic motor 0050,2023-08-05,1,0,6.47,30.0,220.0,91.55
Synthetic group B,SYN-0050,Synthetic motor 0050,2023-11-14,0,1,4.82,30.0,220.0,91.55
Synthetic group B,SYN-0050,Synthetic motor 0050,2024-10-10,1,0,7.17,30.0,220.0,91.55
Synthetic group B,SYN-0050,Synthetic motor 0050,2025-02-27,0,1,7.3,30.0,220.0,91.55
Synthetic group C,SYN-0051,Synthetic motor 0051,2022-03-23,1,0,10.16,45.0,440.0,68.66
Synthetic group C,SYN-0051,Synthetic motor 0051,2022-08-07,0,1,16.89,45.0,440.0,68.66
Synthetic group C,SYN-0051,Synthetic motor 0051,2023-03-21,1,0,9.12,45.0,440.0,68.66
Synthetic group C,SYN-0051,Synthetic motor 0051,2023-06-02,0,1,5.08,45.0,440.0,68.66
Synthetic group C,SYN-0051,Synthetic motor 0051,2024-06-10,1,0,5.49,45.0,440.0,68.66
Synthetic group C,SYN-0051,Synthetic motor 0051,2024-09-03,0,1,2.76,45.0,440.0,68.66
Synthetic group D,SYN-0052,Synthetic motor 0052,2022-07-02,1,0,8.36,45.0,440.0,68.66
Synthetic group D,SYN-0052,Synthetic motor 0052,2022-09-30,0,1,6.57,45.0,440.0,68.66
Synthetic group D,SYN-0052,Synthetic motor 0052,2023-06-28,1,0,8.32,45.0,440.0,68.66
Synthetic group D,SYN-0052,Synthetic motor 0052,2023-11-19,0,1,4.37,45.0,440.0,68.66
Synthetic group D,SYN-0052,Synthetic motor 0052,2025-01-11,1,0,7.02,45.0,440.0,68.66
Synthetic group D,SYN-0052,Synthetic motor 0052,2025-03-07,0,1,9.11,45.0,440.0,68.66
Synthetic group A,SYN-0053,Synthetic motor 0053,2022-02-22,1,0,7.16,45.0,380.0,79.5
Synthetic group A,SYN-0053,Synthetic motor 0053,2022-04-27,0,1,6.52,45.0,380.0,79.5
Synthetic group A,SYN-0053,Synthetic motor 0053,2023-02-18,1,0,9.01,45.0,380.0,79.5
Synthetic group A,SYN-0053,Synthetic motor 0053,2023-07-01,0,1,4.81,45.0,380.0,79.5
Synthetic group A,SYN-0053,Synthetic motor 0053,2024-07-17,1,0,6.43,45.0,380.0,79.5
Synthetic group A,SYN-0053,Synthetic motor 0053,2024-10-01,0,1,3.14,45.0,380.0,79.5
Synthetic group B,SYN-0054,Synthetic motor 0054,2022-03-22,1,0,7.88,22.0,380.0,38.87
Synthetic group B,SYN-0054,Synthetic motor 0054,2022-05-07,0,1,8.44,22.0,380.0,38.87
Synthetic group B,SYN-0054,Synthetic motor 0054,2023-02-04,1,0,6.61,22.0,380.0,38.87
Synthetic group B,SYN-0054,Synthetic motor 0054,2023-03-27,0,1,9.53,22.0,380.0,38.87
Synthetic group B,SYN-0054,Synthetic motor 0054,2024-03-14,1,0,9.77,22.0,380.0,38.87
Synthetic group B,SYN-0054,Synthetic motor 0054,2024-05-17,0,1,4.74,22.0,380.0,38.87
Synthetic group C,SYN-0055,Synthetic motor 0055,2022-09-28,1,0,9.89,15.0,380.0,26.5
Synthetic group C,SYN-0055,Synthetic motor 0055,2023-01-24,0,1,4.1,15.0,380.0,26.5
Synthetic group C,SYN-0055,Synthetic motor 0055,2023-12-14,1,0,5.13,15.0,380.0,26.5
Synthetic group C,SYN-0055,Synthetic motor 0055,2024-04-24,0,1,3.64,15.0,380.0,26.5
Synthetic group C,SYN-0055,Synthetic motor 0055,2025-03-18,1,0,8.11,15.0,380.0,26.5
Synthetic group C,SYN-0055,Synthetic motor 0055,2025-06-14,0,1,7.28,15.0,380.0,26.5
Synthetic group D,SYN-0056,Synthetic motor 0056,2022-06-11,1,0,6.19,22.0,380.0,38.87
Synthetic group D,SYN-0056,Synthetic motor 0056,2022-11-05,0,1,1.56,22.0,380.0,38.87
Synthetic group D,SYN-0056,Synthetic motor 0056,2023-10-31,1,0,7.28,22.0,380.0,38.87
Synthetic group D,SYN-0056,Synthetic motor 0056,2023-12-25,0,1,9.45,22.0,380.0,38.87
Synthetic group D,SYN-0056,Synthetic motor 0056,2024-11-11,1,0,7.0,22.0,380.0,38.87
Synthetic group D,SYN-0056,Synthetic motor 0056,2025-02-06,0,1,4.74,22.0,380.0,38.87
Synthetic group A,SYN-0057,Synthetic motor 0057,2022-09-11,1,0,6.21,22.0,380.0,38.87
Synthetic group A,SYN-0057,Synthetic motor 0057,2022-12-21,0,1,4.32,22.0,380.0,38.87
Synthetic group A,SYN-0057,Synthetic motor 0057,2023-12-05,1,0,4.4,22.0,380.0,38.87
Synthetic group A,SYN-0057,Synthetic motor 0057,2024-04-30,0,1,9.85,22.0,380.0,38.87
Synthetic group A,SYN-0057,Synthetic motor 0057,2025-05-23,1,0,3.63,22.0,380.0,38.87
Synthetic group A,SYN-0057,Synthetic motor 0057,2025-08-31,0,1,3.55,22.0,380.0,38.87
Synthetic group B,SYN-0058,Synthetic motor 0058,2022-06-02,1,0,5.12,7.5,440.0,11.44
Synthetic group B,SYN-0058,Synthetic motor 0058,2022-07-19,0,1,2.21,7.5,440.0,11.44
Synthetic group B,SYN-0058,Synthetic motor 0058,2023-05-01,1,0,5.88,7.5,440.0,11.44
Synthetic group B,SYN-0058,Synthetic motor 0058,2023-09-21,0,1,4.41,7.5,440.0,11.44
Synthetic group B,SYN-0058,Synthetic motor 0058,2024-10-16,1,0,7.26,7.5,440.0,11.44
Synthetic group B,SYN-0058,Synthetic motor 0058,2024-12-19,0,1,7.35,7.5,440.0,11.44
Synthetic group C,SYN-0059,Synthetic motor 0059,2022-04-17,1,0,7.29,11.0,440.0,16.78
Synthetic group C,SYN-0059,Synthetic motor 0059,2022-07-25,0,1,14.19,11.0,440.0,16.78
Synthetic group C,SYN-0059,Synthetic motor 0059,2023-05-22,1,0,2.93,11.0,440.0,16.78
Synthetic group C,SYN-0059,Synthetic motor 0059,2023-09-03,0,1,2.15,11.0,440.0,16.78
Synthetic group C,SYN-0059,Synthetic motor 0059,2024-09-08,1,0,14.3,11.0,440.0,16.78
Synthetic group C,SYN-0059,Synthetic motor 0059,2024-11-15,0,1,3.4,11.0,440.0,16.78
Synthetic group D,SYN-0060,Synthetic motor 0060,2022-02-06,1,0,3.27,7.5,220.0,22.89
Synthetic group D,SYN-0060,Synthetic motor 0060,2022-06-21,0,1,4.62,7.5,220.0,22.89
Synthetic group D,SYN-0060,Synthetic motor 0060,2023-02-12,1,0,6.14,7.5,220.0,22.89
Synthetic group D,SYN-0060,Synthetic motor 0060,2023-04-24,0,1,5.21,7.5,220.0,22.89
Synthetic group D,SYN-0060,Synthetic motor 0060,2024-01-02,1,0,3.95,7.5,220.0,22.89
Synthetic group D,SYN-0060,Synthetic motor 0060,2024-03-25,0,1,6.04,7.5,220.0,22.89
